Full Name,Work Status,Start Date,Job,Work Email,Team,Reports To,Office,Salary Amount,Salary Currency,Salary Type,Tenure,Country,City,First Name,Last Name,Date of Birth,Gender,Contract Type
Alaric Finch-Sallow,active,03/06/2023,Senior Sourdough Baker,alaric.finch-sallow@crumbandculture.com,Bread,Oryan Moshe,NYC SoHo Shop,88000,USD $,Yearly,2 years 8 months,United States,New York,Alaric,Finch-Sallow,07/12/1989,Male,Full time
Alistair Finch,active,09/02/2022,Product Development Lead,alistair.finch@crumbandculture.com,Product Development,Oryan Moshe,London HQ & Flagship,78000,GBP £,Yearly,4 years,United Kingdom,London,Alistair,Finch,28/01/1977,Male,Full time
Alistair Pendergast,active,14/05/2020,Logistics Coordinator,alistair.pendergast@crumbandculture.com,Logistics,Beatrix 'Bea' Vane,London HQ & Flagship,40000,GBP £,Yearly,5 years 9 months,United Kingdom,London,Alistair,Pendergast,12/03/1975,Male,Full time
Allegra 'Alley' Vance,active,03/05/2021,Head of Marketing,allegra.alleyvance@crumbandculture.com,Marketing,Zebulon Thorne,London HQ & Flagship,80000,GBP £,Yearly,4 years 9 months,United Kingdom,London,Allegra,'Alley' Vance,02/09/1992,Female,Full time
Alon Mizrahi,active,09/11/2019,Director of Retail Operations,alon.mizrahi@crumbandculture.com,Store Management,Zebulon Thorne,Tel Aviv Bakery,45000,ILS ₪,Monthly,6 years 3 months,Israel,Tel Aviv,Alon,Mizrahi,26/05/1980,Male,Full time
Alonzo Quintanilla,active,18/06/2023,Senior Sourdough Baker,alonzo.quintanilla@crumbandculture.com,Bread,Wyatt Henderson,NYC SoHo Shop,82000,USD $,Yearly,2 years 8 months,United States,New York,Alonzo,Quintanilla,16/05/1989,Male,Full time
Amalia Rothschild,active,25/06/2023,Senior Pastry Chef,amalia.rothschild@crumbandculture.com,Pastry,Margaux Lemaire,NYC SoHo Shop,98000,USD $,Yearly,2 years 7 months,United States,New York,Amalia,Rothschild,25/10/1991,Female,Full time
Amitai Shaked,active,26/02/2020,Tel Aviv Shop Manager,amitai.shaked@crumbandculture.com,Store Management,Alon Mizrahi,Tel Aviv Bakery,28500,ILS ₪,Monthly,5 years 11 months,Israel,Tel Aviv,Amitai,Shaked,17/10/1976,Male,Full time
Barnaby 'Barney' Jukes,active,03/10/2017,Front of House Shift Lead,barnaby.barneyjukes@crumbandculture.com,Front of House,Julian Sallow,London HQ & Flagship,16,GBP £,Hourly,8 years 4 months,United Kingdom,London,Barnaby,'Barney' Jukes,11/12/1989,Male,Full time
Barnaby 'Barns' Whitaker,active,19/08/2022,Social Media Coordinator,barnaby.barnswhitaker@crumbandculture.com,Marketing,Allegra 'Alley' Vance,London HQ & Flagship,34500,GBP £,Yearly,3 years 6 months,United Kingdom,London,Barnaby,'Barns' Whitaker,28/05/1995,Male,Full time
Barnaby 'Bax' Baxter-Thorne,active,08/08/2023,Front of House Associate,barnaby.baxbaxter-thorne@crumbandculture.com,Front of House,Julian Sallow,London HQ & Flagship,28500,GBP £,Yearly,2 years 6 months,United Kingdom,London,Barnaby,'Bax' Baxter-Thorne,24/05/1992,Male,Full time
Barnaby 'Bee' Quiller,active,10/01/2024,Commis de Viennoiserie,barnaby.beequiller@crumbandculture.com,Viennoiserie,Orly Naveh,London HQ & Flagship,26000,GBP £,Yearly,2 years 1 month,United Kingdom,London,Barnaby,'Bee' Quiller,04/01/2002,Male,Full time
Barnaby Fletcher,active,23/10/2019,Senior Barista,barnaby.fletcher@crumbandculture.com,Barista,Poppy Jenkins,London HQ & Flagship,31500,GBP £,Yearly,6 years 4 months,United Kingdom,London,Barnaby,Fletcher,21/06/1990,Male,Full time
